Name,Parent Name,Cost Type,Status,Cost Code,Cost Title,Quantity,Unit cost ex. tax,Unit tax,Unit cost inc. tax,Unit,Builder Cost,Markup %,Markup $,Unit price ex. tax,Unit price tax,Unit price inc. tax,Amount,Description
Preliminaries & General,,GROUP,Complete,,,,,,,,14323.64,0,3151.2,,,,19222.32,
Home Building Compensation Fund,Preliminaries & General,ALLOWANCE,Complete,101,HBCF,1,3300,330,3630,unit,3300,22,726,4026,402.6,4428.6,4428.6,"HBCF provides a safety net for home owners in NSW faced with incomplete and defective building work carried out by a builder or tradesperson, and is required on all jobs valued over $20,000. The cost is calculated on the total of construction costs."
HBCF Broker Fee,Preliminaries & General,MATERIAL,Complete,101,HBCF,1,450,45,495,unit,450,22,99,549,54.9,603.9,603.9,
HIA Contract,Preliminaries & General,MATERIAL,Complete,100,Preliminaries,1,40,4,44,unit,40,22,8.8,48.8,4.88,53.68,53.68,
Hazardco Small Project,Preliminaries & General,MATERIAL,Complete,100,Preliminaries,0,180,18,198,unit,0,22,0,0,0,0,0,
Hazardco Large Project,Preliminaries & General,MATERIAL,Complete,100,Preliminaries,1,360,36,396,unit,360,22,79.2,439.2,43.92,483.12,483.12,
Buildern Project Management,Preliminaries & General,MATERIAL,Complete,100,Preliminaries,0,400,40,440,unit,0,20,0,0,0,0,0,"We use Buildern as our project management software
 This gives you access to the client portal where you can view the project information, schedule &amp; site diaries"
Hazardco Site Safety Software,Preliminaries & General,MATERIAL,Complete,100,Preliminaries,0,360,36,396,unit,0,20,0,0,0,0,0,We use Hazardco as our site safety hub to ensure all works are performed with complete safety in mind
Job Photography,Preliminaries & General,MATERIAL,Complete,100,Preliminaries,4,200,20,220,unit,800,22,176,244,24.4,268.4,1073.6,
Power Cost During Build,Preliminaries & General,MATERIAL,Complete,100,Preliminaries,0,0,0,0,unit,0,22,0,0,0,0,0,
Buildern,Preliminaries & General,MATERIAL,Complete,100,Preliminaries,3,400,40,440,unit,1200,22,264,488,48.8,536.8,1610.4,
Contract Signing,Preliminaries & General,LABOUR,Complete,100,Preliminaries,3,80,8,88,unit,240,22,52.8,97.6,9.76,107.36,322.08,
Quantity Surveying,Preliminaries & General,SUBCONTRACTOR,Complete,100,Preliminaries,1,1000,100,1100,unit,1000,22,220,1220,122,1342,1342,
Supervision,Preliminaries & General,LABOUR,Complete,120,Labour - Project Management (Off-Site),16,320,32,352,Weeks,5120,22,1126.4,390.4,39.04,429.44,6871.04,"A job is only as good as the supervision it gets during construction. We pride ourselves on keeping up to date with all current industry rules and regulations, which we then make sure all our carpenters and contractors adhere to. All our projects, no matter how big or small all get constant supervision by our team, every single element is checked and passed by our stringent quality control measures."
Future Builder,Preliminaries & General,FEE,Complete,100,Preliminaries,1,1813.64,181.364,1995.004,unit,1813.64,22,399,2212.64,221.26,2433.9,2433.9,
Health & Safety,Preliminaries & General,FEE,Complete,100,Preliminaries,0,0,0,0,unit,0,22,0,0,0,0,0,"Site health and safety measures throughout build
 Hazardco safety software used on-site"
Toolbox Meetings On-site,Preliminaries & General,MATERIAL,Complete,100,Preliminaries,0,0,0,0,unit,0,22,0,0,0,0,0,Regular team site-meetings to ensure all members have a good understanding of the job
Asbestos Testing,Preliminaries & General,ALLOWANCE,Complete,100,Preliminaries,0,500,50,550,Fee,0,22,0,0,0,0,0,
Health & Safety,Preliminaries & General,FEE,Complete,100,Preliminaries,0,0,0,0,unit,0,0,0,0,0,0,0,"Site health and safety measures throughout build
 Hazardco safety software used on-site"
Engineering Inspections,Preliminaries & General,MATERIAL,Complete,103,Engineering,0,0,0,0,unit,0,22,0,0,0,0,0,
Certification Fees,Preliminaries & General,MATERIAL,Complete,100,Preliminaries,0,0,0,0,unit,0,22,0,0,0,0,0,
Portable Long Service Levy,Preliminaries & General,MATERIAL,Complete,100,Preliminaries,0,0,0,0,unit,0,22,0,0,0,0,0,
Adjustment for contract,Preliminaries & General,MATERIAL,Complete,FLRT,Flat rate,0,166.35,16.635,182.985,unit,0,20,0,0,0,0,0,
Site Services,,GROUP,Complete,,,,,,,,10291.82,0,2264.2,,,,13811.62,
