Name,Parent Name,Cost Type,Status,Cost Code,Cost Title,Quantity,Unit cost ex. tax,Unit tax,Unit cost inc. tax,Unit,Builder Cost,Markup %,Markup $,Unit price ex. tax,Unit price tax,Unit price inc. tax,Amount,Description
Notes & RFI's,,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
Estimated Project Duration,Notes & RFI's,MATERIAL,Incomplete,FLRT,Flat rate,0,0,0,0,Weeks,0,20,0,0,0,0,0,
Contingency,Notes & RFI's,FEE,Incomplete,FLRT,Flat rate,0,0,0,0,unit,0,20,0,0,0,0,0,"A contingency of 3% is recommended for all projects. If you would like this factored into tour proposa please advise
"
BAL Rating,Notes & RFI's,FEE,Incomplete,FLRT,Flat rate,0,0,0,0,unit,0,20,0,0,0,0,0,
Build Area,Notes & RFI's,FEE,Incomplete,FLRT,Flat rate,0,0,0,0,m2,0,20,0,0,0,0,0,
Council,Notes & RFI's,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,unit,0,20,0,0,0,0,0,"Council Fees, Bonds, Levy's &amp; Permits: No Allowance. Paid By Owner
"
Construction Documentation & Architect,Notes & RFI's,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,unit,0,20,0,0,0,0,0,"No Allowance for Architectural Works or Additional Costs for Architecturally Administered Contracts
"
Critical Inspection / Private Certifier,Notes & RFI's,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,unit,0,20,0,0,0,0,0,"Critical Inspections During a Construction Project - Owner to Pay Direct
"
Engineers,Notes & RFI's,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,unit,0,20,0,0,0,0,0,"Owner to Pay Direct For All Requirements for Engineers Including Inspections
"
Preliminaries & General,,GROUP,Incomplete,,,,,,,,772,0,154.4,,,,1019.04,
LABOUR - Preliminaries,Preliminaries & General,MATERIAL,Incomplete,100,Preliminaries,0,75,7.5,82.5,unit,0,20,0,0,0,0,0,
LABOUR - Off-Site Project Management,Preliminaries & General,LABOUR,Incomplete,120,Labour - Project Management (Off-Site),0,100,10,110,unit,0,20,0,0,0,0,0,
LABOUR - On-Site Project Management,Preliminaries & General,LABOUR,Incomplete,121,Labour - Project Management (On-Site),0,90,9,99,unit,0,20,0,0,0,0,0,
Home Building Compensation Fund,Preliminaries & General,ALLOWANCE,Incomplete,101,HBCF,0,600,60,660,unit,0,20,0,0,0,0,0,"HBCF is an insurance policy that provides a safety net for home owners in NSW faced with incomplete and defective building work carried out by a builder or tradesperson, and is required on all jobs valued over $20,000. The cost is calculated on the total of construction costs.
NOTE - As this fee is calculated on total construction costs it may be necessary to be adjusted while calculating the final invoice on the project if the cost of the project increases.
"
HBCF Broker Fee,Preliminaries & General,MATERIAL,Incomplete,101,HBCF,1,510,51,561,unit,510,20,102,612,61.2,673.2,673.2,
